point_id,sheet,region,role,src_x,src_y,ref_x,ref_y,ref_lon,ref_lat,street_a,street_b,feature,method,confidence,selected_by,residual_px,accepted,note
X01_01,S1,S1_main,tie,542.21,526.19,,,,,1TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X01_02,S1,S1_main,tie,538.54,928.49,,,,,1TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X01_03,S1,S1_main,tie,533.84,1332.63,,,,,1TH ST,AVENUE C,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X01_04,S1,S1_main,tie,527.8,1741.64,,,,,1TH ST,AVENUE D,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X01_05,S1,S1_main,tie,519.58,2144.69,,,,,1TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X01_05,S9,S9,tie,531.8,146.61,,,,,1TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X01_06,S9,S9,tie,535.71,547.04,,,,,1TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X01_07,S9,S9,tie,538.99,952.68,,,,,1TH ST,AVENUE G,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X01_08,S9,S9,tie,543.09,1352.14,,,,,1TH ST,AVENUE H,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X01_09,S9,S9,tie,547.73,1750.79,,,,,1TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X01_10,S9,S9,tie,551.0,2152.59,,,,,1TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_01,S1,S1_main,tie,945.87,530.76,,,,,2TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_02,S1,S1_main,tie,942.12,935.16,,,,,2TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_03,S1,S1_main,tie,937.98,1339.66,,,,,2TH ST,AVENUE C,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_04,S1,S1_main,tie,930.59,1745.68,,,,,2TH ST,AVENUE D,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_05,S1,S1_main,tie,926.73,2147.36,,,,,2TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_05,S9,S9,tie,933.39,145.92,,,,,2TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_06,S9,S9,tie,934.79,546.45,,,,,2TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_07,S9,S9,tie,941.79,945.72,,,,,2TH ST,AVENUE G,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_08,S9,S9,tie,942.5,1345.33,,,,,2TH ST,AVENUE H,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_09,S9,S9,tie,944.93,1747.62,,,,,2TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X02_10,S9,S9,tie,947.15,2148.04,,,,,2TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_01,S1,S1_main,tie,1355.45,538.53,,,,,3TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_02,S1,S1_main,tie,1346.9,939.7,,,,,3TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_03,S1,S1_main,tie,1344.83,1344.17,,,,,3TH ST,AVENUE C,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_04,S1,S1_main,tie,1335.78,1750.92,,,,,3TH ST,AVENUE D,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_05,S1,S1_main,tie,1330.95,2156.1,,,,,3TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_05,S9,S9,tie,1331.67,140.21,,,,,3TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_06,S9,S9,tie,1334.44,539.72,,,,,3TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_07,S9,S9,tie,1337.2,940.05,,,,,3TH ST,AVENUE G,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_08,S9,S9,tie,1342.44,1341.5,,,,,3TH ST,AVENUE H,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_09,S9,S9,tie,1346.54,1742.47,,,,,3TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X03_10,S9,S9,tie,1347.99,2144.64,,,,,3TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_01,S1,S1_main,tie,1759.41,544.0,,,,,4TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_02,S1,S1_main,tie,1754.86,948.44,,,,,4TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_03,S1,S1_main,tie,1746.44,1354.72,,,,,4TH ST,AVENUE C,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_04,S1,S1_main,tie,1742.84,1758.85,,,,,4TH ST,AVENUE D,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_05,S1,S1_main,tie,1733.84,2162.81,,,,,4TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_05,S9,S9,tie,1735.4,136.88,,,,,4TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_06,S9,S9,tie,1734.71,535.35,,,,,4TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_07,S9,S9,tie,1739.55,937.65,,,,,4TH ST,AVENUE G,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_08,S9,S9,tie,1744.59,1338.1,,,,,4TH ST,AVENUE H,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_09,S9,S9,tie,1745.77,1739.49,,,,,4TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X04_10,S9,S9,tie,1748.98,2138.06,,,,,4TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_01,S1,S1_main,tie,2165.12,549.14,,,,,5TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_01,S2,S2,tie,444.28,533.47,,,,,5TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_02,S1,S1_main,tie,2157.21,953.35,,,,,5TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_02,S2,S2,tie,438.3,933.12,,,,,5TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_03,S1,S1_main,tie,2151.36,1358.28,,,,,5TH ST,AVENUE C,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_03,S2,S2,tie,432.96,1332.19,,,,,5TH ST,AVENUE C,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_04,S1,S1_main,tie,2146.79,1762.73,,,,,5TH ST,AVENUE D,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_04,S2,S2,tie,428.21,1729.96,,,,,5TH ST,AVENUE D,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_05,S1,S1_main,tie,2141.07,2169.06,,,,,5TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_05,S2,S2,tie,419.59,2125.37,,,,,5TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_05,S10,S10,tie,451.18,138.08,,,,,5TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_06,S2,S2,tie,413.39,2526.38,,,,,5TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_06,S9,S9,tie,2136.82,533.53,,,,,5TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_06,S10,S10,tie,443.43,533.59,,,,,5TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_07,S9,S9,tie,2142.73,932.32,,,,,5TH ST,AVENUE G,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_07,S10,S10,tie,439.29,935.13,,,,,5TH ST,AVENUE G,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_08,S9,S9,tie,2143.67,1332.5,,,,,5TH ST,AVENUE H,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_08,S10,S10,tie,431.77,1334.09,,,,,5TH ST,AVENUE H,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_09,S9,S9,tie,2148.03,1733.4,,,,,5TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_09,S10,S10,tie,425.02,1729.83,,,,,5TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_10,S9,S9,tie,2149.25,2134.0,,,,,5TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X05_10,S10,S10,tie,421.24,2126.24,,,,,5TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_01,S2,S2,tie,844.8,537.97,,,,,6TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_02,S2,S2,tie,835.08,938.18,,,,,6TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_03,S2,S2,tie,832.95,1336.57,,,,,6TH ST,AVENUE C,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_04,S2,S2,tie,824.31,1737.21,,,,,6TH ST,AVENUE D,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_05,S2,S2,tie,818.22,2137.06,,,,,6TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_05,S10,S10,tie,848.23,146.64,,,,,6TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_06,S2,S2,tie,812.65,2534.46,,,,,6TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_06,S10,S10,tie,839.39,543.18,,,,,6TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_07,S10,S10,tie,835.15,940.29,,,,,6TH ST,AVENUE G,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_08,S10,S10,tie,831.46,1337.78,,,,,6TH ST,AVENUE H,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_09,S10,S10,tie,824.64,1732.95,,,,,6TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X06_10,S10,S10,tie,819.44,2138.31,,,,,6TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_01,S2,S2,tie,1238.62,547.84,,,,,7TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_02,S2,S2,tie,1233.37,946.22,,,,,7TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_03,S2,S2,tie,1229.44,1342.07,,,,,7TH ST,AVENUE C,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_04,S2,S2,tie,1221.85,1742.9,,,,,7TH ST,AVENUE D,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_05,S2,S2,tie,1217.82,2139.63,,,,,7TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_05,S10,S10,tie,1244.86,152.07,,,,,7TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_06,S2,S2,tie,1210.12,2537.1,,,,,7TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_06,S10,S10,tie,1241.98,548.25,,,,,7TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_07,S10,S10,tie,1236.27,947.42,,,,,7TH ST,AVENUE G,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_08,S10,S10,tie,1230.72,1344.35,,,,,7TH ST,AVENUE H,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_09,S10,S10,tie,1218.67,1744.4,,,,,7TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X07_10,S10,S10,tie,1217.85,2140.03,,,,,7TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X08_01,S2,S2,tie,1637.84,551.3,,,,,8TH ST,AVENUE A,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X08_02,S2,S2,tie,1632.63,954.32,,,,,8TH ST,AVENUE B,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X08_03,S2,S2,tie,1627.42,1351.22,,,,,8TH ST,AVENUE C,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X08_04,S2,S2,tie,1620.76,1749.42,,,,,8TH ST,AVENUE D,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X08_05,S2,S2,tie,1614.45,2143.21,,,,,8TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X08_05,S10,S10,tie,1642.18,154.48,,,,,8TH ST,AVENUE E,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
X08_06,S2,S2,tie,1608.58,2546.81,,,,,8TH ST,AVENUE F,street intersection,synthetic projection + gaussian pick noise,high,fixture generator,,True,pick noise sigma=1.5px
