point_id,sheet,region,role,src_x,src_y,ref_x,ref_y,ref_lon,ref_lat,street_a,street_b,feature,method,confidence,selected_by,residual_px,accepted,note
23rd|A,1,S1_main,tie,2927.46,1202.68,,,,,23rd,A,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
24th|A,1,S1_main,tie,2926.39,2331.3,,,,,24th,A,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
25th|A,1,S1_main,tie,2925.19,3589.14,,,,,25th,A,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|A,7,S7,tie,289.33,228.57,,,,,19th,A,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|B,7,S7,tie,1241.56,234.42,,,,,19th,B,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|C,7,S7,tie,2233.12,240.51,,,,,19th,C,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
19th|D,7,S7,tie,3122.42,245.97,,,,,19th,D,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|A,7,S7,tie,287.79,1368.67,,,,,20th,A,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|B,7,S7,tie,1240.02,1374.52,,,,,20th,B,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|C,7,S7,tie,2231.58,1380.61,,,,,20th,C,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
20th|D,7,S7,tie,3120.88,1386.08,,,,,20th,D,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
21st|A,7,S7,tie,286.17,2569.13,,,,,21st,A,street centreline intersection,windowed band fit (incl. recovered boundary),high,06d_boundary_and_direction.py,,true,
