point_id,sheet,region,role,src_x,src_y,ref_x,ref_y,ref_lon,ref_lat,street_a,street_b,feature,method,confidence,selected_by,residual_px,accepted,note
DIR_S1_main_S9_street_p,1,S1_main,direction,5483.89,2335.79,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|A,high,direction constraint,,true,synthetic DIRECTION point
DIR_S1_main_S9_street_p,9,S9,direction,2723.34,2617.0,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|A,high,direction constraint,,true,synthetic DIRECTION point
DIR_S1_main_S9_street_m,1,S1_main,direction,483.91,2322.73,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|A,high,direction constraint,,true,synthetic DIRECTION point
DIR_S1_main_S9_street_m,9,S9,direction,-2276.6,2640.8,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|A,high,direction constraint,,true,synthetic DIRECTION point
DIR_S9_S7_avenue_p,9,S9,direction,2179.62,2832.34,,,,,,,"direction of shared avenues A,B,C,D",lever 2500px from shared point 22nd|C,high,direction constraint,,true,synthetic DIRECTION point
DIR_S9_S7_avenue_p,7,S7,direction,2227.77,6176.52,,,,,,,"direction of shared avenues A,B,C,D",lever 2500px from shared point 22nd|C,high,direction constraint,,true,synthetic DIRECTION point
DIR_S9_S7_avenue_m,9,S9,direction,2218.22,-2167.52,,,,,,,"direction of shared avenues A,B,C,D",lever 2500px from shared point 22nd|C,high,direction constraint,,true,synthetic DIRECTION point
DIR_S9_S7_avenue_m,7,S7,direction,2234.53,1176.52,,,,,,,"direction of shared avenues A,B,C,D",lever 2500px from shared point 22nd|C,high,direction constraint,,true,synthetic DIRECTION point
DIR_S2_S7_street_p,2,S2,direction,5446.86,2413.02,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|A,high,direction constraint,,true,synthetic DIRECTION point
DIR_S2_S7_street_p,7,S7,direction,2703.06,2583.33,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|A,high,direction constraint,,true,synthetic DIRECTION point
DIR_S2_S7_street_m,2,S2,direction,446.94,2441.68,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|A,high,direction constraint,,true,synthetic DIRECTION point
DIR_S2_S7_street_m,7,S7,direction,-2296.84,2552.61,,,,,,,"direction of shared streets 19th,20th,21st",lever 2500px from shared point 21st|A,high,direction constraint,,true,synthetic DIRECTION point
DIR_S9_S10_street_p,9,S9,direction,5670.62,2606.6,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|D,high,direction constraint,,true,synthetic DIRECTION point
DIR_S9_S10_street_p,10,S10,direction,2712.96,2509.73,,,,,,,"direction of shared streets 23rd,24th,25th",lever 2500px from shared point 24th|D,high,direction constraint,,true,synthetic DIRECTION point
