point_id,sheet,region,role,src_x,src_y,ref_x,ref_y,ref_lon,ref_lat,street_a,street_b,feature,method,confidence,selected_by,residual_px,accepted,note
23rd|A,1,S1_main,tie,2963.43,1200.62,,,,,23rd,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 94.5px
24th|A,1,S1_main,tie,2983.9,2329.26,,,,,24th,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 108.3px
25th|A,1,S1_main,tie,3006.72,3587.12,,,,,25th,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 62.0px
19th|A,2,S2,tie,2911.59,146.05,,,,,19th,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 27.4px
20th|A,2,S2,tie,2927.97,1204.19,,,,,20th,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 87.4px
21st|A,2,S2,tie,2946.9,2427.35,,,,,21st,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 91.4px
22nd|A,2,S2,tie,2963.25,3483.6,,,,,22nd,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",high,06b_grid_control_points.py,,true,band rms 34.5px
19th|A,7,S7,tie,202.41,227.38,,,,,19th,A,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 70.8px
19th|B,7,S7,tie,1238.55,234.2,,,,,19th,B,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 70.8px
19th|C,7,S7,tie,2230.13,240.72,,,,,19th,C,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 70.8px
19th|D,7,S7,tie,3188.92,247.03,,,,,19th,D,street centreline intersection,"windowed low-ink band fit, shared sheet rotation",medium,06b_grid_control_points.py,,true,band rms 70.8px
