point_id,sheet,region,role,src_x,src_y,ref_x,ref_y,ref_lon,ref_lat,street_a,street_b,feature,method,confidence,selected_by,residual_px,accepted,note
OVL_S9_S7_000,S9,S9,tie,1815.62,245.03,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.391
OVL_S9_S7_000,S7,S7,tie,1832.38,3692.83,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.391
OVL_S9_S7_001,S9,S9,tie,2000.84,245.03,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.593
OVL_S9_S7_001,S7,S7,tie,2013.64,3696.69,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.593
OVL_S9_S7_002,S9,S9,tie,2000.84,281.19,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,high,06c_overlap_correspondences.py,,true,ncc=0.678
OVL_S9_S7_002,S7,S7,tie,2013.73,3735.61,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,high,06c_overlap_correspondences.py,,true,ncc=0.678
OVL_S9_S7_003,S9,S9,tie,704.3,317.35,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.386
OVL_S9_S7_003,S7,S7,tie,732.13,3763.91,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.386
OVL_S9_S7_004,S9,S9,tie,2000.84,317.35,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.645
OVL_S9_S7_004,S7,S7,tie,2013.64,3772.01,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.645
OVL_S9_S7_005,S9,S9,tie,519.08,353.5,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.571
OVL_S9_S7_005,S7,S7,tie,543.58,3788.65,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.571
OVL_S9_S7_006,S9,S9,tie,704.3,353.5,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.405
OVL_S9_S7_006,S7,S7,tie,732.03,3790.87,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.405
OVL_S9_S7_007,S9,S9,tie,1259.96,353.5,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.519
OVL_S9_S7_007,S7,S7,tie,1276.19,3803.1,,,,,,,shared detail in sheet overlap,predictive NCC + RANSAC similarity,medium,06c_overlap_correspondences.py,,true,ncc=0.519
