point_id,sheet,region,role,src_x,src_y,ref_x,ref_y,ref_lon,ref_lat,street_a,street_b,feature,category,control_class,method,confidence,selected_by,uncertainty_px,residual_px,accepted,note
MV_S10_S9_B00,10,S10,tie,188.1,344.0,,,,,,,south property line of 22nd St (= N frontage line of blks 562 / 502),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B00,9,S9,tie,3206.8,402.5,,,,,,,south property line of 22nd St (= N frontage line of blks 562 / 502),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B01,10,S10,tie,197.1,1265.5,,,,,,,north property line of 23rd (Tremont) St (= S frontage of 562 / 502),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B01,9,S9,tie,3213.3,1327.0,,,,,,,north property line of 23rd (Tremont) St (= S frontage of 562 / 502),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B02,10,S10,tie,190.4,1512.5,,,,,,,south property line of 23rd (Tremont) St (= N frontage of 563 / 503),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B02,9,S9,tie,3208.3,1567.0,,,,,,,south property line of 23rd (Tremont) St (= N frontage of 563 / 503),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B03,10,S10,tie,193.6,2434.0,,,,,,,north property line of 24th St (= S frontage of 563 / 503),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B03,9,S9,tie,3213.6,2487.0,,,,,,,north property line of 24th St (= S frontage of 563 / 503),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B04,10,S10,tie,192.4,2678.5,,,,,,,south property line of 24th St (= N frontage of 564 / 504),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B04,9,S9,tie,3208.5,2732.0,,,,,,,south property line of 24th St (= N frontage of 564 / 504),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B05,10,S10,tie,194.7,3603.0,,,,,,,north property line of 25th (Bath Av.) St (= S frontage of 564 / 504),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S10_S9_B05,9,S9,tie,3216.3,3648.5,,,,,,,north property line of 25th (Bath Av.) St (= S frontage of 564 / 504),property line intersection,geometric,"block frontage line crossing a street property line, stepped to the shared avenue centreline using the sheet's own measured scale bar",medium,S10_S9_manual_historical_point_specialist.json,6.0,,true,constructed centreline: no duplicated point feature exists across this seam
MV_S1_main_S2_00,1,S1_main,tie,2606.15,140.1,,,,,,,North-west corner of block 742 (J. M. Heiskell's wood yard): the west property line of the wood-yard block meeting the SOUTH right-of-way line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S1_main__S2_manual_historical_point_specialist.json,5.0,,true,reconciled with independent reviewer (max disagreement 1.00px)
MV_S1_main_S2_00,2,S2,tie,2551.5,3685.8,,,,,,,North-west corner of block 742 (J. M. Heiskell's wood yard): the west property line of the wood-yard block meeting the SOUTH right-of-way line of 22nd Street,,geometric,"semantic identification from printed evidence, then sub-pixel measurement on a 1-src-px grid overlay",high,S1_main__S2_manual_historical_point_specialist.json,5.0,,true,reconciled with independent reviewer (max disagreement 1.00px)
