sheet_a,sheet_b,edge_a,edge_b,geometric_control_count,median_error_px,rmse_px,p95_error_px,max_error_px,symbol_control_count,symbol_scatter_median_px,symbol_scatter_max_px,street_width_discrepancy,line_bearing_diff_deg,visual_status,geometry_status,mask_status,final_status,notes
S10,S27,right,left,7,1.49,2.77,5.05,5.60,0,,,0.181,9.43,see output/qc/seam_report/,PASS,cut at shared centreline,PASS,"excellent; line bearing differs 9.4 deg across the seam (informational: this metric reads the dominant structure in each crop, not a join)"
S10,S8,top,bottom,16,2.07,11.84,17.64,45.77,0,,,0.207,28.84,see output/qc/seam_report/,PASS,cut at shared centreline,PASS,"excellent; max 46px exceeds 15px; line bearing differs 28.8 deg across the seam (informational: this metric reads the dominant structure in each crop, not a join)"
S10,S9,right,left,6,4.06,5.14,8.24,9.25,0,,,0.146,18.22,see output/qc/seam_report/,PASS,cut at shared centreline,PASS,"within target; line bearing differs 18.2 deg across the seam (informational: this metric reads the dominant structure in each crop, not a join)"
S1_main,S2,top,bottom,3,5.11,5.15,7.08,7.29,0,,,0.424,6.92,see output/qc/seam_report/,REVIEW,cut at shared centreline,REVIEW,"median in the 5-10 px review band; line bearing differs 6.9 deg across the seam (informational: this metric reads the dominant structure in each crop, not a join)"
S1_main,S9,right,left,7,2.32,5.55,10.55,13.23,0,,,0.491,78.47,see output/qc/seam_report/,PASS,cut at shared centreline,PASS,"excellent; line bearing differs 78.5 deg across the seam (informational: this metric reads the dominant structure in each crop, not a join)"
S2,S7,right,left,7,2.94,4.08,6.27,6.76,0,,,0.486,72.44,see output/qc/seam_report/,PASS,cut at shared centreline,PASS,"excellent; line bearing differs 72.4 deg across the seam (informational: this metric reads the dominant structure in each crop, not a join)"
S27,S29,top,bottom,16,2.18,2.76,4.28,5.10,3,17.46,18.14,0.045,20.18,see output/qc/seam_report/,PASS,cut at shared centreline,PASS,"excellent; line bearing differs 20.2 deg across the seam (informational: this metric reads the dominant structure in each crop, not a join)"
S29,S8,right,left,8,3.17,4.79,7.89,8.94,0,,,0.158,61.21,see output/qc/seam_report/,PASS,cut at shared centreline,PASS,"within target; line bearing differs 61.2 deg across the seam (informational: this metric reads the dominant structure in each crop, not a join)"
S7,S8,right,left,7,3.62,4.07,5.33,5.43,0,,,0.818,87.93,see output/qc/seam_report/,PASS,cut at shared centreline,PASS,"within target; line bearing differs 87.9 deg across the seam (informational: this metric reads the dominant structure in each crop, not a join)"
S7,S9,top,bottom,10,5.31,6.26,10.20,10.56,2,39.14,45.08,0.076,19.52,see output/qc/seam_report/,REVIEW,cut at shared centreline,REVIEW,"median in the 5-10 px review band; line bearing differs 19.5 deg across the seam (informational: this metric reads the dominant structure in each crop, not a join)"
