  41: fit n=7 med=2.4 th=+0.65 sc=1.991 (round 1)
  45: fit n=14 med=20.8 th=+0.34 sc=1.994 (round 1)
  51: PRIOR (fit rejected med=40.0 kept=23 th=-0.04 (nbr 0.30) sc=2.0178 (nbr 2.0001))
  37: PRIOR (no accepted fit after iterated rounds)
  36: PRIOR (no accepted fit after iterated rounds)
  35: PRIOR (no accepted fit after iterated rounds)
  34: PRIOR (no accepted fit after iterated rounds)
  52: PRIOR (no accepted fit after iterated rounds)
  46: PRIOR (no accepted fit after iterated rounds)
  42: PRIOR (fit rejected med=9.9 kept=7 th=-2.64 (nbr 0.65) sc=1.8352 (nbr 1.9910))
  38: PRIOR (no accepted fit after iterated rounds)
  26: PRIOR (no accepted fit after iterated rounds)
  47: PRIOR (no accepted fit after iterated rounds)
  53: PRIOR (no accepted fit after iterated rounds)
  58: PRIOR (no accepted fit after iterated rounds)
  59: PRIOR (no accepted fit after iterated rounds)
  57: PRIOR (no accepted fit after iterated rounds)
  56: PRIOR (no accepted fit after iterated rounds)
  55: PRIOR (fit rejected med=30.8 kept=4 th=12.26 (nbr 0.07) sc=0.8306 (nbr 2.0094))
  14: PRIOR (no accepted fit after iterated rounds)
  13: PRIOR (no accepted fit after iterated rounds)
  60: PRIOR (no accepted fit after iterated rounds)
  54: PRIOR (no accepted fit after iterated rounds)
  61: PRIOR (no accepted fit after iterated rounds)
  16: PRIOR (no accepted fit after iterated rounds)
  15: PRIOR (no accepted fit after iterated rounds)
  62: PRIOR (no accepted fit after iterated rounds)
  69: PRIOR (no accepted fit after iterated rounds)
  68: PRIOR (no accepted fit after iterated rounds)
  67: PRIOR (no accepted fit after iterated rounds)
  63: PRIOR (no accepted fit after iterated rounds)
  70: PRIOR (no accepted fit after iterated rounds)
  64: PRIOR (no accepted fit after iterated rounds)
  71: PRIOR (no accepted fit after iterated rounds)
  65: PRIOR (no accepted fit after iterated rounds)
  66: PRIOR (no accepted fit after iterated rounds)
  73: PRIOR (no accepted fit after iterated rounds)
  78: PRIOR (no accepted fit after iterated rounds)
  77: PRIOR (no accepted fit after iterated rounds)
  76: PRIOR (no accepted fit after iterated rounds)
  75: PRIOR (no accepted fit after iterated rounds)
  83: PRIOR (no accepted fit after iterated rounds)
  84: PRIOR (no accepted fit after iterated rounds)
  85: PRIOR (no accepted fit after iterated rounds)
  86: PRIOR (no accepted fit after iterated rounds)
  79: PRIOR (no accepted fit after iterated rounds)
  87: PRIOR (no accepted fit after iterated rounds)
  80: PRIOR (no accepted fit after iterated rounds)
  88: PRIOR (no accepted fit after iterated rounds)
  81: PRIOR (no accepted fit after iterated rounds)
  74: PRIOR (no accepted fit after iterated rounds)
  48: PRIOR (no accepted fit after iterated rounds)
  82: PRIOR (no accepted fit after iterated rounds)
  89: PRIOR (no accepted fit after iterated rounds)
  94: PRIOR (no accepted fit after iterated rounds)
  95: PRIOR (no accepted fit after iterated rounds)
  93: PRIOR (no accepted fit after iterated rounds)
  92: PRIOR (no accepted fit after iterated rounds)
  91: PRIOR (no accepted fit after iterated rounds)
  28: PRIOR (no accepted fit after iterated rounds)
  29: PRIOR (no accepted fit after iterated rounds)
  30: PRIOR (no accepted fit after iterated rounds)
  31: PRIOR (no accepted fit after iterated rounds)
  32: PRIOR (no accepted fit after iterated rounds)
  22: PRIOR (no accepted fit after iterated rounds)
  23: PRIOR (no accepted fit after iterated rounds)
  24: PRIOR (no accepted fit after iterated rounds)
  25: PRIOR (no accepted fit after iterated rounds)
  19: PRIOR (no accepted fit after iterated rounds)
  20: PRIOR (no accepted fit after iterated rounds)
  18: PRIOR (no accepted fit after iterated rounds)
  99: PRIOR (no accepted fit after iterated rounds)
  90: PRIOR (no accepted fit after iterated rounds)
  98: PRIOR (no accepted fit after iterated rounds)
  17: PRIOR (no accepted fit after iterated rounds)
  21: PRIOR (no accepted fit after iterated rounds)
  27: PRIOR (no accepted fit after iterated rounds)
  33: PRIOR (no accepted fit after iterated rounds)
  97: PRIOR (no accepted fit after iterated rounds)
  96: PRIOR (no accepted fit after iterated rounds)
placed 92: 12 core, 2 fit, 78 flagged
wrote affine_city_1912.json + ring_1912_report.json
